district,state,year,test,grade,subgroup,n_tested,pct_met,source_tag
Dublin USD,CA,2019,CAASPP,3,All,1007,79.2,workbook
Dublin USD,CA,2019,CAASPP,3,Female,494,72.1,workbook
Dublin USD,CA,2019,CAASPP,3,Male,513,86.0,workbook
Dublin USD,CA,2019,CAASPP,3,EconDis,61,45.9,workbook
Dublin USD,CA,2019,CAASPP,3,Black,20,55.0,workbook
Dublin USD,CA,2019,CAASPP,3,Asian,589,87.6,workbook
Dublin USD,CA,2019,CAASPP,3,Filipino,35,74.3,workbook
Dublin USD,CA,2019,CAASPP,3,Hispanic,110,58.2,workbook
Dublin USD,CA,2019,CAASPP,3,White,151,72.2,workbook
Dublin USD,CA,2019,CAASPP,3,Non-SWD,953,81.6,workbook
Dublin USD,CA,2019,CAASPP,3,Not-EconDis,946,81.3,workbook
Dublin USD,CA,2019,CAASPP,3,SWD,54,35.2,workbook
Dublin USD,CA,2019,CAASPP,3,Two or More Races,92,71.7,workbook
Dublin USD,CA,2019,CAASPP,3,EL,65,30.8,workbook
Dublin USD,CA,2019,CAASPP,3,English Only,617,77.5,workbook
Dublin USD,CA,2019,CAASPP,4,All,949,78.1,workbook
Dublin USD,CA,2019,CAASPP,4,Female,510,74.9,workbook
Dublin USD,CA,2019,CAASPP,4,Male,439,81.8,workbook
Dublin USD,CA,2019,CAASPP,4,EconDis,52,28.9,workbook
Dublin USD,CA,2019,CAASPP,4,Black,25,52.0,workbook
Dublin USD,CA,2019,CAASPP,4,Asian,537,86.8,workbook
Dublin USD,CA,2019,CAASPP,4,Filipino,27,85.2,workbook
Dublin USD,CA,2019,CAASPP,4,Hispanic,92,51.1,workbook
Dublin USD,CA,2019,CAASPP,4,White,167,73.0,workbook
Dublin USD,CA,2019,CAASPP,4,Non-SWD,872,81.7,workbook
Dublin USD,CA,2019,CAASPP,4,Not-EconDis,897,80.9,workbook
Dublin USD,CA,2019,CAASPP,4,SWD,77,37.7,workbook
Dublin USD,CA,2019,CAASPP,4,Two or More Races,89,69.7,workbook
Dublin USD,CA,2019,CAASPP,4,EL,59,28.8,workbook
Dublin USD,CA,2019,CAASPP,4,English Only,557,75.2,workbook
Dublin USD,CA,2019,CAASPP,5,All,1003,80.9,workbook
Dublin USD,CA,2019,CAASPP,5,Female,519,75.3,workbook
Dublin USD,CA,2019,CAASPP,5,Male,484,86.8,workbook
Dublin USD,CA,2019,CAASPP,5,EconDis,60,31.7,workbook
Dublin USD,CA,2019,CAASPP,5,Black,35,51.4,workbook
Dublin USD,CA,2019,CAASPP,5,Asian,542,89.5,workbook
Dublin USD,CA,2019,CAASPP,5,Filipino,38,89.5,workbook
Dublin USD,CA,2019,CAASPP,5,Hispanic,117,60.7,workbook
Dublin USD,CA,2019,CAASPP,5,White,187,73.8,workbook
Dublin USD,CA,2019,CAASPP,5,Non-SWD,910,84.5,workbook
