sedalea,sedaleaname,subject,grade,year,stateabb,cs_mn_all,tot_asmt_all,cs_mn_asn,tot_asmt_asn,cs_mn_blk,tot_asmt_blk,cs_mn_hsp,tot_asmt_hsp,cs_mn_wht,tot_asmt_wht,cs_mn_ecd,tot_asmt_ecd,cs_mn_nec,tot_asmt_nec
600019,Dublin Unified,rla,3,2009,CA,.2858500941482278,500,,,,,,,,,-.4729625597212269,54,.365184813291755,446
600019,Dublin Unified,rla,3,2010,CA,.365443607705851,518,,,,,,,,,-.2604444035123618,51,.4355537622348292,467
600019,Dublin Unified,rla,3,2011,CA,.4456385298475784,528,,,,,,,,,-.2457641700240157,63,.5335551145701614,465
600019,Dublin Unified,rla,3,2012,CA,.4759596409615274,620,.7868347583035805,272,-.1606612811644322,36,-.1032835864623201,71,.4105721985005218,216,-.361707515254534,64,.5765327745472602,556
600019,Dublin Unified,rla,3,2013,CA,.6330438470469162,626,.7940097020590763,291,-.1060190714012197,26,.2240885891680978,71,.6449595311725637,218,.0801412739115493,62,.7057619566397116,564
600019,Dublin Unified,rla,3,2015,CA,.8139562952556525,803,1.067186809274946,430,,,.1905390221732506,91,.6578664286648089,225,-.3269944653516649,56,.8759153610195746,747
600019,Dublin Unified,rla,3,2016,CA,.8308093115690286,851,1.015573551314587,464,,,.2398401383752093,102,.7762524169547471,202,-.0672516423871183,62,.8857240631985666,789
600019,Dublin Unified,rla,3,2017,CA,.663829999218768,983,1.016259897891516,521,.0023433791540793,33,.013457708337848,128,.3036861668539256,214,-.2967818522668412,82,.7398420345615128,901
600019,Dublin Unified,rla,3,2018,CA,.8948985381920493,944,1.14844976351697,548,.144581849905472,26,.0233497412937504,92,.5677722290746066,181,,,.9753063836865836,869
600019,Dublin Unified,rla,3,2019,CA,.8910793117753253,1014,1.183606475379529,641,.0153046974958267,23,.1790598143079112,110,.5200978798665946,151,-.1739287251065446,84,.9839895232274237,930
600019,Dublin Unified,rla,4,2009,CA,.2987314686150682,440,,,,,,,,,-.3399537422606767,41,.3672699451278057,399
600019,Dublin Unified,rla,4,2010,CA,.312220318592914,505,,,,,,,,,-.4395877371537259,42,.365060272729019,463
600019,Dublin Unified,rla,4,2011,CA,.3523358079515225,526,,,,,,,,,-.2238107162614899,73,.4282755528412869,453
600019,Dublin Unified,rla,4,2012,CA,.4991652236470813,557,.929401182554211,228,-.2508577031346684,37,-.0946573265098438,79,.5048906864969983,187,-.2872538131447107,63,.5962868859032605,494
600019,Dublin Unified,rla,4,2013,CA,.5191075779865729,679,.8364460638463246,310,.0799550618144865,41,-.3191907615154824,76,.4533896943248214,228,-.4168783090046845,78,.639580840526553,601
600019,Dublin Unified,rla,4,2015,CA,.7884821791996431,775,1.03453050831409,413,-.0694414788538361,30,.0785501807844015,87,.6909496419186683,221,-.1488074251834301,58,.8534336997236032,717
600019,Dublin Unified,rla,4,2016,CA,.9454179805884063,876,1.308126712211326,469,-.2887530520405878,30,.213328314316836,100,.7440604841202281,201,-.1444476575562916,67,1.006439223990596,809
600019,Dublin Unified,rla,4,2017,CA,.8449516448771967,875,1.093636074474557,485,,,.1431048907248767,100,.7270380893385904,194,.0283149740059934,67,.9055150878545288,808
600019,Dublin Unified,rla,4,2018,CA,.7137655078160292,989,1.08670906644629,547,-.0495110060551874,33,.028804277346212,127,.3298904406798337,199,-.246111063338382,90,.7992743639701099,899
600019,Dublin Unified,rla,4,2019,CA,.7899864733707155,957,1.044227019635046,586,-.1114467536918899,25,-.0044681258254831,93,.649296922523512,167,-.3104747869923571,79,.8650826589254529,878
600019,Dublin Unified,rla,5,2009,CA,.27691691184087,419,,,,,,,,,-.4731407239467571,41,.3633546574486798,378
600019,Dublin Unified,rla,5,2010,CA,.3075905741818508,455,,,,,,,,,-.4580115266960508,37,.3643380111316372,418
600019,Dublin Unified,rla,5,2011,CA,.2416366082787187,496,,,,,,,,,-.2272685870914557,63,.2914613209573885,433
600019,Dublin Unified,rla,5,2012,CA,.4520621341084848,552,.8035263208076446,223,-.1039664985737079,38,-.0310108444597008,73,.5441610961652732,198,-.2489885038158003,62,.5421334167391352,490
600019,Dublin Unified,rla,5,2013,CA,.4726467829419735,607,.7767146348670247,259,-.3201875693217355,45,-.0925219850731191,85,.5056640622093319,198,-.4310944183313693,73,.5571131959275899,534
600019,Dublin Unified,rla,5,2015,CA,.8498476232777538,716,1.162086604199971,374,.1282404184469862,35,.2536872418709786,71,.6387668378964206,207,.0806776297940779,49,.9091493280552677,667
600019,Dublin Unified,rla,5,2016,CA,.7949629879753586,814,1.063295499314771,439,,,.0803379456050992,89,.7065223829641916,206,-.02053792093484,64,.8598615815678597,750
600019,Dublin Unified,rla,5,2017,CA,.8203908428195636,908,1.103488694954006,500,-.0931664388923403,30,.0638107074813545,94,.596037358867857,196,-.3421742654891595,61,.8853471852341163,847
600019,Dublin Unified,rla,5,2018,CA,.8364589142996036,911,1.139361602031664,521,,,.0493489689667453,97,.5600233738609707,192,-.0379591025426616,96,.9331822838960926,815
600019,Dublin Unified,rla,5,2019,CA,.7445858561942095,1007,1.010175042703891,607,-.3415098518666623,35,.033608906496095,118,.4112631692158559,186,-.2038257513185743,96,.8134619580082214,911
614880,Garden Grove Unified,rla,3,2009,CA,-.3440996366569773,3725,.0784744123553098,1230,-.5168379709865885,36,-.6690155836887999,1996,.0209683001589973,385,-.5496008293228486,2589,.1393162504873323,1136
614880,Garden Grove Unified,rla,3,2010,CA,-.3111075872832115,3641,.1707841496597561,1184,-.491699209557146,28,-.6714435077647795,2013,.1373229334192066,320,-.4779983679607137,2233,-.0407421361558014,1408
614880,Garden Grove Unified,rla,3,2011,CA,-.240016125078177,3402,.2603014344693971,1087,-.3166502251725806,29,-.5957057854558253,1873,.1130894922199567,324,-.4045577712778639,2443,.1846637833783417,959
614880,Garden Grove Unified,rla,3,2012,CA,-.287698954214113,3720,.2616113953626762,1347,-.4785951446324974,38,-.7239482430849722,1938,.0666744896360813,379,-.4501297345864564,2369,.0053554470882671,1351
614880,Garden Grove Unified,rla,3,2013,CA,-.2750588808701013,3500,.2831273582207723,1246,-.2881181464816285,36,-.6809453491829477,1890,-.0130375207656884,315,-.4227041338713282,2425,.0668586724075412,1075
614880,Garden Grove Unified,rla,3,2015,CA,-.1436054367883974,3424,.5138588864033392,1133,,,-.5425420042936421,1968,.1125258612217254,276,-.3283452991456355,2656,.5289912131192779,768
614880,Garden Grove Unified,rla,3,2016,CA,-.0413704957677321,3281,.5597650718798264,1152,,,-.4250405119130072,1807,.1402913015667199,246,-.2562846623472289,2326,.5238458582338185,955
614880,Garden Grove Unified,rla,3,2017,CA,.1103154616773605,3174,.7200331226642245,1126,.1710497066147174,21,-.2935578687311294,1742,.4242021149792322,214,-.1010777424755552,2197,.6146433920150949,977
614880,Garden Grove Unified,rla,3,2018,CA,.1666251347116757,2916,.7627335245762106,1007,,,-.2130317980277348,1612,.4524146705940665,210,.0114078604610697,2148,.6548060241282559,768
614880,Garden Grove Unified,rla,3,2019,CA,.096159399704091,2955,.7293276181614622,966,,,-.2750380165450485,1638,.3330950533279537,208,-.0996049323057885,2109,.5858071456957978,846
614880,Garden Grove Unified,rla,4,2009,CA,-.3468396284051138,3675,.271312332841639,1116,-.2538816376153089,33,-.7193307949561655,2052,.0273452356970987,396,-.5422479025735805,2554,.1396765903147295,1121
614880,Garden Grove Unified,rla,4,2010,CA,-.337300615269275,3701,.1652580543104729,1220,-.3664955312880424,35,-.6709032331644171,1963,-.1024207916332033,380,-.5081373873726323,2249,-.0509954697754096,1452
614880,Garden Grove Unified,rla,4,2011,CA,-.2318683285626815,3645,.3217679669367314,1209,-.1364886583351811,27,-.623014493393738,1988,.2892559269682583,339,-.4034561484892235,2631,.2678840848015165,1014
614880,Garden Grove Unified,rla,4,2012,CA,-.2986780584673631,3431,.2602583122110635,1201,-.4688561189435303,30,-.6797700974406848,1873,.0422937308735529,311,-.4655661854353003,2270,.0583984241872234,1161
614880,Garden Grove Unified,rla,4,2013,CA,-.2463687989993347,3718,.4129833418637553,1378,-.3973097088795405,32,-.6841138981134459,1916,.0684519917873111,375,-.4219249983160017,2575,.2034418816190173,1143
614880,Garden Grove Unified,rla,4,2015,CA,-.197774058142949,3486,.4377034079753121,1209,-.1624868718975952,20,-.6267361353540912,1938,.0278653064067085,292,-.3863629143433114,2702,.4696115572953982,784
614880,Garden Grove Unified,rla,4,2016,CA,-.0782530243132255,3458,.596482190709982,1188,,,-.4944575324138776,1953,.1603005528089065,267,-.2766349945271738,2460,.4413174616398249,998
614880,Garden Grove Unified,rla,4,2017,CA,.0609091522451164,3267,.7211958501422822,1188,,,-.380440912923747,1764,.2583685796297963,246,-.1446514928941987,2261,.5632370647844099,1006
614880,Garden Grove Unified,rla,4,2018,CA,.1200217910553901,3164,.7464166856575256,1140,-.2396912899451663,25,-.287874263539005,1715,.4386785046380968,208,-.0753406889237045,2306,.700902910923408,858
614880,Garden Grove Unified,rla,4,2019,CA,.1077488068329023,2969,.7270200591048663,1032,,,-.2857612599984684,1624,.4136536025374147,217,-.0646739252866775,2101,.5960344635590828,868
614880,Garden Grove Unified,rla,5,2009,CA,-.3888846674610479,3573,.150889721166368,1002,-.3106005846923686,35,-.7147047152003134,2037,-.0165121671057299,402,-.5564651973684696,2476,.0041445758950682,1097
614880,Garden Grove Unified,rla,5,2010,CA,-.3400218587695936,3684,.294593576273616,1137,-.3691949424794981,34,-.7266804753120515,2047,-.01483953752597,370,-.5433647997805718,2290,.0165127661245111,1394
614880,Garden Grove Unified,rla,5,2011,CA,-.25155778297141,3711,.2637027111068464,1249,-.4850569842770709,35,-.6101893204164563,1953,.0301201409774352,398,-.4327531606745164,2589,.2012028931016189,1122
614880,Garden Grove Unified,rla,5,2012,CA,-.2555766546000972,3671,.2754908501090212,1311,-.3631207105127597,26,-.66396841069511,2001,.1552372411268428,323,-.4086820092317065,2463,.0713122020486133,1208
614880,Garden Grove Unified,rla,5,2013,CA,-.257414324614678,3457,.286808161276185,1239,-.2514500991580761,27,-.6599417398350147,1872,.0931329779987258,305,-.4122514784517577,2429,.118669151586596,1028
614880,Garden Grove Unified,rla,5,2015,CA,-.1294531069541633,3413,.4680354535429608,1278,.0447005618399294,20,-.5609806494252401,1814,.1604362806290235,278,-.3096959040472985,2624,.470099458986306,789
614880,Garden Grove Unified,rla,5,2016,CA,-.0724031233650001,3546,.6307573756201245,1252,,,-.5283679954774719,1944,.1674240176906934,302,-.2931360661268073,2517,.4880158263906422,1029
614880,Garden Grove Unified,rla,5,2017,CA,.0701937264802921,3425,.7604674976558472,1204,,,-.3683853756081518,1910,.3191930235078637,262,-.1343261506548054,2418,.5602478819464387,1007
614880,Garden Grove Unified,rla,5,2018,CA,.1042082551035414,3253,.7678860301101919,1202,,,-.3405542415897709,1745,.2794941066604757,231,-.1022588421890541,2350,.6807210683499131,903
614880,Garden Grove Unified,rla,5,2019,CA,.1429708924198707,3165,.8626000607652531,1158,-.3172092004089804,23,-.282062900368971,1688,.2660685085829964,216,-.0502470554363638,2228,.6409756885867975,937
622500,Long Beach Unified,rla,3,2009,CA,-.3288814898276606,6443,,,,,,,,,-.5570672498423658,4710,.3245064939661346,1733
622500,Long Beach Unified,rla,3,2010,CA,-.3213108910941223,6249,.1193051724908364,467,-.4710042573347284,922,-.5594926323957008,3327,.3421443994934938,977,-.5162362827016875,4552,.2190077434482729,1697
622500,Long Beach Unified,rla,3,2011,CA,-.2317089842736567,6295,.0737536821148904,501,-.4021269664419247,959,-.3991963705690316,3445,.3279410020323129,943,-.4042946795583454,4624,.2740606642910248,1671
622500,Long Beach Unified,rla,3,2012,CA,-.3203671619664221,6148,.0351731334316886,789,-.5047610226472815,890,-.5475589478002125,3383,.3824019100898017,899,-.5327114016197058,4459,.2908771536977934,1689
622500,Long Beach Unified,rla,3,2013,CA,-.3631197258539605,6270,-.0467306659753873,750,-.5712683510059351,896,-.5710926398855803,3510,.3517033544359043,906,-.580916263517477,4411,.1788276682566168,1859
622500,Long Beach Unified,rla,3,2015,CA,-.2313682391236876,5921,.0436742981404486,661,-.5499459480890336,709,-.410337824627408,3472,.5660949027322391,744,-.4467680765572507,4232,.373862351641893,1689
622500,Long Beach Unified,rla,3,2016,CA,-.2117041977325508,5848,.1635977380623148,620,-.5168195679654897,767,-.3893276402122348,3376,.5225658199499326,703,-.3846945637649326,4208,.3004309134637484,1640
622500,Long Beach Unified,rla,3,2017,CA,-.0103771073384344,5649,.3612177436900365,626,-.3191636087226311,672,-.206905882738905,3271,.6987050302950777,698,-.2209124718633195,4076,.5688769775358512,1573
622500,Long Beach Unified,rla,3,2018,CA,.016644402163628,5342,.3233165852018446,544,-.326490318798403,645,-.1424925153339172,3155,.7331692864146252,640,-.2057812910278385,3887,.6770426461840401,1455
622500,Long Beach Unified,rla,3,2019,CA,.1137915590463978,5402,.4725960126372368,553,-.2209594281322623,678,-.0279577085678486,3221,.7621294469626645,578,-.0871855381849762,3956,.7063984063799386,1446
622500,Long Beach Unified,rla,4,2009,CA,-.3308357952856388,6502,,,,,,,,,-.541586068257782,4683,.2758512851502876,1819
622500,Long Beach Unified,rla,4,2010,CA,-.2870587186736211,6365,,,,,,,,,-.4779644879702389,4621,.2945819157080931,1744
622500,Long Beach Unified,rla,4,2011,CA,-.242395529341501,6194,.2438860610766009,478,-.4964846992474435,919,-.4441216897666476,3315,.4274216019850648,1008,-.4341144405549642,4513,.368657750344633,1681
622500,Long Beach Unified,rla,4,2012,CA,-.2973425093572065,6115,.0029798544473001,756,-.5453073565516047,936,-.4813725491608316,3324,.4503750360766719,932,-.5033572441635009,4416,.3520749848782164,1699
622500,Long Beach Unified,rla,4,2013,CA,-.2599459147181623,5998,.1114911159984675,762,-.4615714228734253,869,-.4714914897253091,3295,.4911642309329342,892,-.4840337856014665,4177,.3485204257963121,1821
622500,Long Beach Unified,rla,4,2015,CA,-.2524153015502583,5960,.1834740260814057,702,-.6752351189566825,755,-.4660029770925704,3418,.5384013190180409,802,-.4755118055924931,4214,.3582201701779766,1746
622500,Long Beach Unified,rla,4,2016,CA,-.2040751115572042,5871,.1464411889111152,662,-.5575798621946347,694,-.3767511871663546,3439,.5056238948208959,742,-.4118765635687546,4221,.3665211622240625,1650
622500,Long Beach Unified,rla,4,2017,CA,-.0590794948716289,5661,.29028577206721,596,-.3819808670023019,719,-.2319148265157494,3297,.6839039570064361,688,-.25785243385381,4080,.5392000864479104,1581
622500,Long Beach Unified,rla,4,2018,CA,-.0257948213379934,5581,.3569906063783257,603,-.3455375153687387,652,-.2321567378236575,3249,.682939918137532,689,-.2350313543214513,4065,.5787560431880043,1516
622500,Long Beach Unified,rla,4,2019,CA,.0138157154216709,5240,.3569951279113845,555,-.380819173353561,632,-.1287719427573646,3058,.6307264684326942,620,-.1944338259747579,3801,.5959865387125978,1439
622500,Long Beach Unified,rla,5,2009,CA,-.3612654778569084,6590,,,,,,,,,-.5742273475941344,4819,.2545093744138276,1771
622500,Long Beach Unified,rla,5,2010,CA,-.2610792691409212,6415,,,,,,,,,-.4551242913177257,4621,.275826864219989,1794
622500,Long Beach Unified,rla,5,2011,CA,-.2744398063031984,6253,,,,,,,,,-.4629498216990336,4553,.2898315458038783,1700
622500,Long Beach Unified,rla,5,2012,CA,-.228906473921486,6108,.1089948114847453,787,-.4492671770447517,901,-.444840201059272,3257,.4362108792014294,1001,-.4503057233835748,4372,.3682179393510884,1736
622500,Long Beach Unified,rla,5,2013,CA,-.2434676397849314,5963,-.0105674947265407,742,-.4076000252330303,896,-.4348054430011453,3256,.4240078130849505,916,-.4450963009510995,4168,.2675282002593486,1795
622500,Long Beach Unified,rla,5,2015,CA,-.1756012146276383,5842,.1769731845318078,712,-.4582740427217227,790,-.3550493207340892,3278,.4755294593286604,833,-.364959856278248,4132,.3268926943099224,1710
622500,Long Beach Unified,rla,5,2016,CA,-.1685920557484616,5878,.2025100316002622,692,-.6009496954859729,746,-.3294195766849591,3355,.4607150205958155,796,-.3525260802653951,4198,.3104419019281329,1680
622500,Long Beach Unified,rla,5,2017,CA,-.0564395653719835,5765,.2584473081819867,643,-.359722126335125,677,-.2292543715038685,3369,.6329087454505047,742,-.2752795628376724,4142,.5774946151250289,1623
622500,Long Beach Unified,rla,5,2018,CA,-.0086220191538873,5616,.3552003349726957,586,-.3313849072971,721,-.1614682473431532,3270,.6419133378656732,674,-.2127922379309402,4049,.5521327555924398,1567
622500,Long Beach Unified,rla,5,2019,CA,.034152452754625,5453,.4557925586666682,610,-.3165156548402156,636,-.1578292893181207,3156,.7354789144870741,677,-.1619280845145859,3958,.582565318043237,1495
624500,Milpitas Unified,rla,3,2009,CA,-.0496351140203102,778,,,,,,,,,-.5360570045822924,289,.2432962519245961,489
624500,Milpitas Unified,rla,3,2010,CA,-.0026604632188462,707,,,,,,,,,-.4022748888665277,285,.2583689808018088,422
624500,Milpitas Unified,rla,3,2011,CA,-.0130281671517725,763,,,,,,,,,-.4827303538690839,287,.2506457332391866,476
624500,Milpitas Unified,rla,3,2012,CA,.0224873203633651,785,.26993212982436,513,,,-.6932287526016061,170,-.0997775481651857,57,-.4271576913726454,304,.2901944605926165,481
624500,Milpitas Unified,rla,3,2013,CA,.0537642209242561,735,.311022258363342,495,-.4788068218495369,20,-.692720392414947,153,.3408384224021678,40,-.5436837723503147,318,.4732268076092996,417
624500,Milpitas Unified,rla,3,2015,CA,.3525933064639083,776,.5189379882956282,538,,,-.1614779774413221,158,.6617267479770537,38,-.065864015809349,269,.5709882907001674,507
624500,Milpitas Unified,rla,3,2016,CA,.2943982460761601,745,.5846496144134377,485,,,-.4967834371927454,162,.3069644564129038,49,-.3299198946375126,256,.6015474597697383,489
624500,Milpitas Unified,rla,3,2017,CA,.3415747691376713,748,.5520288559051623,502,,,-.3238377380416212,153,.4336987407473387,40,-.1610824083215643,281,.6227534045389719,467
624500,Milpitas Unified,rla,3,2018,CA,.4243713795498946,719,.6539628287801981,470,,,-.3690661911754549,140,.4503299705518705,47,-.1941756154544791,277,.8050688902009656,442
624500,Milpitas Unified,rla,3,2019,CA,.384195852625091,735,.584909530972344,517,,,-.4901475347166686,116,.2437430867183646,35,-.0757404899379431,263,.6174856846844236,472
624500,Milpitas Unified,rla,4,2009,CA,-.0093927183951687,722,,,,,,,,,-.5640496312587221,275,.3975448931549745,447
624500,Milpitas Unified,rla,4,2010,CA,.0163951441069755,795,,,,,,,,,-.4871049493491435,331,.4004601010327273,464
624500,Milpitas Unified,rla,4,2011,CA,.1231411606380336,723,,,,,,,,,-.2271078948634705,294,.3817750960691638,429
