sedaadmin,sedaadminname,subject,grade,year,stateabb,cs_mn_all,tot_asmt_all,cs_mn_asn,tot_asmt_asn,cs_mn_blk,tot_asmt_blk,cs_mn_hsp,tot_asmt_hsp,cs_mn_wht,tot_asmt_wht,cs_mn_ecd,tot_asmt_ecd,cs_mn_nec,tot_asmt_nec
600019,Dublin Unified,rla,3,2009,CA,.284268878295356,500,,,,,,,,,-.4703521020816193,54,.364753226100038,446
600019,Dublin Unified,rla,3,2010,CA,.3684456306382263,518,,,,,,,,,-.2527532776365503,51,.4304596676273719,467
600019,Dublin Unified,rla,3,2011,CA,.4430836735756419,528,,,,,,,,,-.1710766645475465,63,.5327987939167431,465
600019,Dublin Unified,rla,3,2012,CA,.4762377665604851,620,.787033539873186,272,-.0892320015524846,36,-.0850635897137764,71,.4121253879437288,216,-.3716559847325092,64,.5755925789203712,556
600019,Dublin Unified,rla,3,2013,CA,.6384907467008002,626,.7963375914514008,291,-.1202656845977547,26,.2062009766866229,71,.656676275731237,218,.0984902409067117,62,.7081783752361744,564
600019,Dublin Unified,rla,3,2015,CA,.8127466175982291,803,1.06597824875631,430,,,.2088164596683905,91,.6602455598465402,225,-.3257790108643855,56,.8715779333854426,747
600019,Dublin Unified,rla,3,2016,CA,.8267669850338828,851,1.009962519736578,464,,,.2561771206420563,102,.7941318273324516,202,-.0522837645153509,62,.8804049486908769,789
600019,Dublin Unified,rla,3,2017,CA,.6639882730496705,983,1.014178034335935,521,-.0494027722363181,33,.0005571619011918,128,.2955986335529239,214,-.3056430533511135,82,.7389851189620514,901
600019,Dublin Unified,rla,3,2018,CA,.8962886759904555,944,1.143191640324499,548,.1855607245294757,26,.0459275273039315,92,.5574872619908678,181,,,.9719267310682478,869
600019,Dublin Unified,rla,3,2019,CA,.8933989153814743,1014,1.184766520980747,641,.0043592334663227,23,.1848518513114201,110,.4949743635381426,151,-.1671963202041201,84,.9813856741172785,930
600019,Dublin Unified,rla,3,2022,CA,1.048103169207985,1017,1.287189796962206,642,.0373466499659429,36,.1076836614951303,77,.4999394013809033,128,.0390699839183919,36,1.074318471743707,981
600019,Dublin Unified,rla,3,2023,CA,.8659708545519338,983,1.080481520927113,616,,,.1286372853681484,88,.583652922815675,153,.0824555470614981,79,.9337066464526396,904
600019,Dublin Unified,rla,3,2024,CA,.7973666361747065,978,.9227567425634786,664,,,.0917006626823694,82,.481363199180145,111,.2489786815756048,114,.871918879196224,864
600019,Dublin Unified,rla,3,2025,CA,.6979517852594747,980,.8933663231619097,652,.0541877926312778,22,-.1725159210112938,102,.3191893470539514,108,.0318891104735483,165,.8058965598070161,815
600019,Dublin Unified,rla,4,2009,CA,.3012399949418982,440,,,,,,,,,-.3356361173784611,41,.3608858315865224,399
600019,Dublin Unified,rla,4,2010,CA,.3160093760652589,505,,,,,,,,,-.4240171589058969,42,.3617081020094489,463
600019,Dublin Unified,rla,4,2011,CA,.352246547567883,526,,,,,,,,,-.2117765679031561,73,.4268984558062245,453
600019,Dublin Unified,rla,4,2012,CA,.494355167177672,557,.9316628702928592,228,-.2919836249108483,37,-.0867059685468977,79,.4932851853894676,187,-.2783869335395062,63,.5962504788888359,494
600019,Dublin Unified,rla,4,2013,CA,.511766087581588,679,.8096489618441718,310,.1048784217279804,41,-.2847105184330485,76,.4492019750705828,228,-.4400254237643763,78,.6381110451063999,601
600019,Dublin Unified,rla,4,2015,CA,.7886050409449169,775,1.030006725619033,413,-.0191235929348213,30,.0907508134743762,87,.6871896039526455,221,-.175100066798432,58,.8578961118794315,717
600019,Dublin Unified,rla,4,2016,CA,.9436802257774001,876,1.302183586568121,469,-.3243672265734396,30,.2071161065905457,100,.7585316430952762,201,-.1814502440698946,67,.9987569589251382,809
600019,Dublin Unified,rla,4,2017,CA,.8452689423626681,875,1.10458753775382,485,,,.1351343154500336,100,.7355855437559561,194,.0433146635637313,67,.9084965519316776,808
600019,Dublin Unified,rla,4,2018,CA,.7171104700959563,989,1.087790411594613,547,-.0026453422888421,33,.0312591498950724,127,.3366059222103595,199,-.259403038762704,90,.799857974169478,899
600019,Dublin Unified,rla,4,2019,CA,.7877801238569261,957,1.039630743832309,586,-.0807630370027392,25,-.0133307455780676,93,.6416664155996007,167,-.3087526551788207,79,.8661616277230033,878
600019,Dublin Unified,rla,4,2022,CA,.9296455316521868,1009,1.138322763826091,669,,,.3944443024681567,84,,,-.0076039762934905,52,.9725049802079213,957
600019,Dublin Unified,rla,4,2023,CA,.9743686951592569,1022,1.239892712515188,667,.0413202481372347,37,.1025935395214256,74,.6806485013723923,122,.0274620371767356,66,1.004132786422291,956
600019,Dublin Unified,rla,4,2024,CA,.809793639094334,1001,.9535886747981643,628,,,.0389833294843445,95,.6115052408604676,149,.484089817507029,180,.8758633514680376,821
600019,Dublin Unified,rla,4,2025,CA,.7826548015030049,1003,.9668103518747324,683,,,.136873017834047,87,.3804382624121193,109,.1599296204850764,136,.8873383482251429,867
600019,Dublin Unified,rla,5,2009,CA,.2768970871799524,419,,,,,,,,,-.46648318234353,41,.3731051962833577,378
600019,Dublin Unified,rla,5,2010,CA,.2991230518758718,455,,,,,,,,,-.4833201665774925,37,.3612037559257136,418
600019,Dublin Unified,rla,5,2011,CA,.237801148892737,496,,,,,,,,,-.1738386346612591,63,.2956302345694069,433
600019,Dublin Unified,rla,5,2012,CA,.4489627731345529,552,.7949111852885913,223,-.1700554207583352,38,-.0384913603927384,73,.5589287540066651,198,-.2256399140027179,62,.5387588089686831,490
600019,Dublin Unified,rla,5,2013,CA,.4723565745021002,607,.7680472838177649,259,-.248759744378841,45,-.0683225300035781,85,.5031676643233738,198,-.4241284361871851,73,.5575602039346176,534
600019,Dublin Unified,rla,5,2015,CA,.8517925845563626,716,1.170143161020979,374,.1273126885053351,35,.2122736798980621,71,.6387521703820451,207,.1033271452828567,49,.9081085598256187,667
600019,Dublin Unified,rla,5,2016,CA,.7944198242555083,814,1.069547485005061,439,,,.1048915868879396,89,.6947067247476562,206,-.0087329664074376,64,.8605919614314642,750
600019,Dublin Unified,rla,5,2017,CA,.8191582596316185,908,1.101763993079334,500,-.1221289533660626,30,.0678523200836395,94,.5960976365682767,196,-.329266869329304,61,.8868579284691045,847
600019,Dublin Unified,rla,5,2018,CA,.8365264530583867,911,1.142115948426112,521,,,.0539307826181035,97,.5652102271779855,192,-.0419102591819631,96,.9288399239098125,815
600019,Dublin Unified,rla,5,2019,CA,.7444704256781134,1007,1.019002243195934,607,-.2732874224640293,35,.0467968634211419,118,.402990793751449,186,-.2050151025475428,96,.8137396784671215,911
600019,Dublin Unified,rla,5,2022,CA,1.042394357761421,1041,1.211730973243733,671,,,.2385047666070036,71,.5652420376430961,147,-.0368175153811469,43,1.079604692972266,998
600019,Dublin Unified,rla,5,2023,CA,.8764467499998049,1015,1.147144848150266,674,,,.0341728797856679,91,.3737759956793236,123,.1506455516203368,98,.9562090350698974,917
600019,Dublin Unified,rla,5,2024,CA,.9807854412818074,1040,1.193200713863625,684,-.0739033427045775,34,,,,,.1673639503527238,89,1.016210937373529,951
600019,Dublin Unified,rla,5,2025,CA,.7715924679076678,986,1.051014915231279,619,-.1275855428588925,20,-.1159851432325718,95,.3407834978714063,145,.2197217484341792,167,.874951704757764,819
614880,Garden Grove Unified,rla,3,2009,CA,-.3439979009936956,3727,.0806153672597034,1231,-.4934088690895119,36,-.6697170569605462,1997,.0279305205292949,385,-.5484132564208903,2591,.1386491357231392,1136
614880,Garden Grove Unified,rla,3,2010,CA,-.3106262849848843,3643,.1711339225685429,1184,-.4359812960888831,28,-.671322747205344,2015,.1397754302856995,320,-.4779383396903801,2235,-.0379086219650747,1408
614880,Garden Grove Unified,rla,3,2011,CA,-.2406621338489242,3405,.2595624147315433,1089,-.2899617071410323,30,-.5961961223590865,1873,.1223070657422342,324,-.4053535622552025,2446,.1826679431585148,959
614880,Garden Grove Unified,rla,3,2012,CA,-.2850873705619671,3729,.2664658137876112,1351,-.4826516525112853,39,-.7221798774827669,1942,.0710051196167202,379,-.4454650381289559,2377,.0038829132480077,1352
614880,Garden Grove Unified,rla,3,2013,CA,-.2747659810437635,3500,.2831463076556686,1246,-.1846782298712726,36,-.6783623886797738,1890,-.0135575326682742,315,-.4235113838298444,2425,.0684201045765517,1075
614880,Garden Grove Unified,rla,3,2015,CA,-.1460339053075272,3424,.5109863562605076,1133,,,-.5401972223647266,1968,.1196619182258396,276,-.3269658839114198,2656,.522676548905179,768
614880,Garden Grove Unified,rla,3,2016,CA,-.04446999022896,3284,.559338717671687,1153,,,-.4284814486893726,1809,.119553843539137,246,-.2583652482900243,2328,.5254258502044795,956
614880,Garden Grove Unified,rla,3,2017,CA,.1113783266260107,3174,.7229562906026343,1126,.2152459605250139,21,-.2921186313598289,1742,.4132730629815641,214,-.1001592257003376,2197,.6175231981577916,977
614880,Garden Grove Unified,rla,3,2018,CA,.1662636991511447,2918,.7625394377988847,1007,,,-.2143296151682972,1614,.4565741384947652,210,.0099080923508392,2148,.6496671952633607,770
614880,Garden Grove Unified,rla,3,2019,CA,.0947015383702558,2959,.7235383580445156,967,,,-.275944432215333,1641,.3255860408580736,208,-.1013531926382407,2112,.5828454819742396,847
614880,Garden Grove Unified,rla,3,2022,CA,.1495567607150255,2642,.7317564356700548,945,,,-.2655162502819803,1398,.5091723571066807,142,-.0502214986972868,1981,.7823804416295262,661
614880,Garden Grove Unified,rla,3,2023,CA,.1281462812579706,2569,.7233531232128341,856,,,-.2564884684775373,1427,.4410813472684773,140,-.0466809650943109,1944,.7059782839418585,625
614880,Garden Grove Unified,rla,3,2024,CA,.0839167715525762,2447,.6636391442373694,871,,,-.3556263209846519,1299,.3927134417761861,139,-.0664074235112507,1935,.6409996914917854,512
614880,Garden Grove Unified,rla,3,2025,CA,.0563629340149694,2399,.5343692194371643,808,,,-.3314434262926387,1300,.3545700997664882,135,-.0955803370568109,1866,.6485235110778735,533
614880,Garden Grove Unified,rla,4,2009,CA,-.3453581043538402,3678,.2697551578276052,1117,-.2119039645516273,33,-.7186486217272474,2054,.0272091248612697,396,-.5431173856117898,2556,.1408232252746612,1122
