district,subgroup,pre_2017_19,post_2022_25,delta
Troy SD,All,0.7300,0.4770,-0.2529
Troy SD,Asian,1.1026,0.7556,-0.3470
Troy SD,White,0.5922,0.3612,-0.2310
Troy SD,Black,-0.0512,-0.3249,-0.2738
Troy SD,Hispanic,0.1604,0.1293,-0.0311
Troy SD,EconDis,0.0130,-0.1335,-0.1466
Troy SD,Not-ECD,0.8476,0.5960,-0.2516
Bloomfield Hills,All,0.4661,0.4918,0.0258
Bloomfield Hills,Asian,0.7808,0.7577,-0.0230
Bloomfield Hills,White,0.4577,0.5338,0.0760
Bloomfield Hills,Black,0.0035,-0.4422,-0.4457
Bloomfield Hills,EconDis,-0.2055,-0.1914,0.0141
Bloomfield Hills,Not-ECD,0.5382,0.5744,0.0362
Birmingham PS,All,0.5422,0.5252,-0.0170
Birmingham PS,Asian,0.9262,0.8213,-0.1049
Birmingham PS,White,0.5944,0.5720,-0.0223
Birmingham PS,Black,0.0752,0.0169,-0.0582
Birmingham PS,Hispanic,0.5830,0.5038,-0.0792
Birmingham PS,EconDis,-0.0209,0.0084,0.0293
Birmingham PS,Not-ECD,0.5919,0.5837,-0.0083
Northville PS,All,0.7146,0.6278,-0.0868
Northville PS,Asian,1.1736,0.8888,-0.2848
Northville PS,White,0.6462,0.5646,-0.0816
Northville PS,Hispanic,0.2913,0.5175,0.2262
Northville PS,EconDis,-0.0387,-0.0148,0.0239
Northville PS,Not-ECD,0.7578,0.6806,-0.0772
Novi CSD,All,0.5689,0.4656,-0.1033
Novi CSD,Asian,0.7289,0.6958,-0.0331
Novi CSD,White,0.5860,0.3571,-0.2289
Novi CSD,Black,-0.0830,-0.4180,-0.3350
Novi CSD,Hispanic,0.1579,0.3216,0.1636
Novi CSD,EconDis,-0.0730,-0.3089,-0.2359
Novi CSD,Not-ECD,0.6251,0.5792,-0.0458
Rochester CSD,All,0.5595,0.3442,-0.2153
Rochester CSD,Asian,0.7552,0.5841,-0.1711
Rochester CSD,White,0.5752,0.3444,-0.2308
Rochester CSD,Black,0.0723,-0.2681,-0.3404
Rochester CSD,Hispanic,0.2283,0.1143,-0.1140
Rochester CSD,EconDis,-0.0812,-0.2419,-0.1608
Rochester CSD,Not-ECD,0.6373,0.4292,-0.2081
Walled Lake CSD,All,0.1786,0.0899,-0.0887
Walled Lake CSD,Asian,0.3971,0.2570,-0.1401
Walled Lake CSD,White,0.2400,0.1703,-0.0697
Walled Lake CSD,Black,-0.2946,-0.5514,-0.2568
Walled Lake CSD,Hispanic,0.0085,0.0234,0.0149
Walled Lake CSD,EconDis,-0.2433,-0.3348,-0.0915
Walled Lake CSD,Not-ECD,0.3488,0.3299,-0.0189
West Bloomfield SD,All,0.1668,-0.0760,-0.2427
West Bloomfield SD,Asian,0.4331,0.5010,0.0679
West Bloomfield SD,White,0.3807,0.2560,-0.1247
West Bloomfield SD,Black,-0.2757,-0.5502,-0.2744
West Bloomfield SD,Hispanic,-0.0853,-0.2911,-0.2058
West Bloomfield SD,EconDis,-0.2777,-0.5267,-0.2490
West Bloomfield SD,Not-ECD,0.4149,0.2177,-0.1971
Detroit DPSCD,All,-1.1002,-1.3589,-0.2588
Detroit DPSCD,Asian,-0.8246,-1.0710,-0.2464
Detroit DPSCD,White,-1.0493,-1.2025,-0.1533
Detroit DPSCD,Black,-1.1774,-1.4097,-0.2323
