school_year,grade,swd_pct,swd_n,non_swd_pct,non_swd_n,all_pct,all_n,oakland_all_pct,state_all_pct
2024-25,3,27.6,87,73.0,693,67.9,780,47.4,38.9
2024-25,4,33.0,94,70.5,739,66.3,833,51.4,42.4
2024-25,5,23.2,82,72.6,777,67.9,859,53.8,44.4
2023-24,3,25.6,82,67.4,734,63.2,816,47.5,39.6
2023-24,4,28.9,76,70.6,755,66.8,831,52.6,43.3
2023-24,5,20.3,79,73.8,808,69.0,887,53.4,44.0
2022-23,3,23.1,65,69.7,748,65.9,813,49.2,40.9
2022-23,4,28.6,77,78.8,768,74.2,845,54.2,44.3
2022-23,5,27.5,69,74.6,850,71.1,919,53.8,43.9
2021-22,3,30.0,60,72.1,764,69.1,824,51.4,41.6
2021-22,4,32.9,70,78.1,809,74.5,879,53.0,43.4
2021-22,5,,,,,,,,
2020-21,3,33.3,42,68.9,576,66.5,618,52.0,42.8
2020-21,4,24.2,33,72.7,664,70.4,697,53.6,44.2
2020-21,5,14.6,48,71.7,614,67.5,662,53.4,43.7
2018-19,3,38.0,71,77.1,833,74.0,904,53.3,45.1
2018-19,4,36.2,69,80.6,783,77.0,852,55.2,45.8
2018-19,5,25.0,108,80.7,854,74.4,962,55.8,46.2
2017-18,3,36.1,72,76.3,759,72.8,831,52.2,44.4
2017-18,4,27.4,113,79.4,825,73.1,938,53.8,45.0
2017-18,5,31.5,89,81.1,909,76.7,998,56.6,46.5
2016-17,3,21.9,105,75.6,820,69.5,925,51.1,44.1
2016-17,4,33.3,90,79.7,890,75.4,980,53.7,44.2
2016-17,5,34.8,92,82.2,858,77.6,950,58.6,51.1
2015-16,3,42.6,68,73.7,891,71.5,959,54.2,46.0
2015-16,4,44.2,86,81.7,852,78.3,938,54.5,46.3
2015-16,5,26.1,92,82.5,871,77.2,963,58.9,50.6
2014-15,3,53.1,81,87.6,834,84.6,915,57.6,50.0
2014-15,4,37.6,85,87.0,854,82.5,939,55.9,46.6
2014-15,5,34.6,78,84.2,815,79.8,893,58.8,48.7
